haltung,pdf_file,pdf_kb,text_len,format,entries,readable
"1128.01-90714","20240619_1128.01-90714.pdf",272,5330,Fretz_Format,5,True
"1231-1232","20210903_1231-1232.pdf",803,1819,IKAS_Caesar,0,False
"1233-1234","20210907_1233-1234.pdf",653,1906,IKAS_Caesar,0,False
"1234-10.640154","20210907_1234-10.640154.pdf",613,1892,IKAS_Caesar,0,False
"1275-1187","20210907_1275-1187.pdf",620,1910,IKAS_Caesar,0,False
"13.61891-58923","20240912_13.61891-58923.pdf",1497,8998,Unknown,14,True
"13070-13394","20230914_13070-13394.pdf",670,7138,WinCan_Standard,6,True
"13071-13070","20230914_13071-13070.pdf",395,4708,WinCan_Standard,3,True
"131013-557","20200508_131013-557.pdf",755,5865,Fretz_Format,2,True
"13394-13384","20230915_13394-13384.pdf",1644,14019,WinCan_Standard,12,True
"1365-1081","20210617_1365-1081.pdf",599,1819,IKAS_Normal_Caesar,0,False
"1367-1366","20210617_1367-1366.pdf",681,1955,IKAS_Caesar,0,False
"1370-1369","20210830_1370-1369.pdf",602,1908,IKAS_Normal_Caesar,0,False
"14.24374-35864","20180523_14.24374-35864.pdf",564,4318,Fretz_Format,4,True
"14.909488-60192","20240920_14.909488-60192.pdf",979,6533,Unknown,15,True
"14.909488-61066","20240913_14.909488-61066.pdf",794,5907,Unknown,9,True
"1406-1405","20210806_1406-1405.pdf",668,1927,IKAS_Normal_Caesar,0,False
"1412-638885","20210614_1412-638885.pdf",661,1819,IKAS_Caesar,0,False
"1414-642951","20210618_1414-642951.pdf",651,1774,IKAS_Caesar,0,False
"141564-141562","20230921_141564-141562.pdf",2778,10767,Fretz_Format,7,True
"1426-10.999002","20210610_1426-10.999002.pdf",690,1801,IKAS_Caesar,0,False
"144370-6833","20230904_144370-6833.pdf",3088,9395,Fretz_Format,8,True
"144371-144370","20230904_144371-144370.pdf",1761,8402,Fretz_Format,5,True
"144372-144371","20230904_144372-144371.pdf",5982,15094,Fretz_Format,14,True
"144373-144372","20230904_144373-144372.pdf",2219,8998,Fretz_Format,5,True
"144374-144373","20230904_144374-144373.pdf",1719,6265,Fretz_Format,3,True
"14648-15031","20190515_14648-15031 DP.pdf",1307,0,Scan_or_Empty,0,False
"14649-14650","20190515_14649-14650 DP.pdf",475,0,Scan_or_Empty,0,False
"14650-14651","20190515_14650-14651 DP.pdf",482,0,Scan_or_Empty,0,False
"14651-14993","20190515_14651-14993 DP.pdf",478,0,Scan_or_Empty,0,False
"1476-1475","20210610_1476-1475.pdf",740,1997,IKAS_Caesar,0,False
"149186-690283","20220520_149186-690283.pdf",165,6734,Unknown,9,True
"149570-28945","20230901_149570-28945.pdf",21418,31463,IKAS_Normal,33,True
"14993-14994","20190515_14993-14994 DP.pdf",474,0,Scan_or_Empty,0,False
"14994-14995","20190515_14994-14995 DP.pdf",468,0,Scan_or_Empty,0,False
"14995-15297","20190515_14995-15297 DP.pdf",469,0,Scan_or_Empty,0,False
"149970-28700","20180426_149970-28700.pdf",1728,7116,Fretz_Format,8,True
"15031-14649","20190515_15031-14649 DP.pdf",471,0,Scan_or_Empty,0,False
